"","ID","V","I","W"
"229",1228,"V22",259,2
"230",1229,"V22",259,2
"231",1230,"V22",261,2
"232",1231,"V22",261,2
"233",1232,"V22",262,1
"234",1233,"V22",263,1
"235",1234,"V22",265,1
"236",1235,"V22",268,1
"237",1236,"V22",270,2
"238",1237,"V22",270,2
"239",1239,"V22",272,2
"240",1238,"V22",272,2
"241",1241,"V22",274,2
"242",1240,"V22",274,2
"243",1242,"V22",277,3
"244",1243,"V22",277,3
"245",1244,"V22",277,3
"246",1247,"V22",280,3
"247",1245,"V22",280,3
"248",1246,"V22",280,3
"249",1248,"V22",283,3
"250",1249,"V22",283,3
"251",1250,"V22",283,3
"252",1255,"V22",289,6
"253",1256,"V22",289,6
"254",1253,"V22",289,6
"255",1254,"V22",289,6
"256",1251,"V22",289,6
"257",1252,"V22",289,6
"258",1262,"V22",295,6
"259",1261,"V22",295,6
"260",1259,"V22",295,6
"261",1260,"V22",295,6
"262",1257,"V22",295,6
"263",1258,"V22",295,6
"264",1268,"V22",303,8
"265",1269,"V22",303,8
"266",1270,"V22",303,8
"267",1267,"V22",303,8
"268",1265,"V22",303,8
"269",1266,"V22",303,8
"270",1264,"V22",303,8
"271",1263,"V22",303,8
"272",1278,"V22",312,9
"273",1279,"V22",312,9
"274",1277,"V22",312,9
"275",1275,"V22",312,9
"276",1276,"V22",312,9
"277",1274,"V22",312,9
"278",1272,"V22",312,9
"279",1273,"V22",312,9
"280",1271,"V22",312,9
"281",1288,"V22",321,9
"282",1287,"V22",321,9
"283",1286,"V22",321,9
"284",1285,"V22",321,9
"285",1284,"V22",321,9
"286",1282,"V22",321,9
"287",1283,"V22",321,9
"288",1280,"V22",321,9
"289",1281,"V22",321,9
"290",1295,"V22",328,7
"291",1292,"V22",328,7
"292",1293,"V22",328,7
"293",1294,"V22",328,7
"294",1291,"V22",328,7
"295",1290,"V22",328,7
"296",1289,"V22",328,7
"297",1304,"V22",337,9
"298",1302,"V22",337,9
"299",1303,"V22",337,9
"300",1300,"V22",337,9
"301",1301,"V22",337,9
"302",1299,"V22",337,9
"303",1298,"V22",337,9
"304",1296,"V22",337,9
"305",1297,"V22",337,9
"306",1312,"V22",346,9
"307",1313,"V22",346,9
"308",1310,"V22",346,9
"309",1311,"V22",346,9
"310",1308,"V22",346,9
"311",1309,"V22",346,9
"312",1307,"V22",346,9
"313",1306,"V22",346,9
"314",1305,"V22",346,9
"315",1322,"V22",356,10
"316",1323,"V22",356,10
"317",1321,"V22",356,10
"318",1319,"V22",356,10
"319",1320,"V22",356,10
"320",1318,"V22",356,10
"321",1317,"V22",356,10
"322",1315,"V22",356,10
"323",1316,"V22",356,10
"324",1314,"V22",356,10
"325",1333,"V22",369,13
"326",1334,"V22",369,13
"327",1335,"V22",369,13
"328",1336,"V22",369,13
"329",1331,"V22",369,13
"330",1332,"V22",369,13
"331",1329,"V22",369,13
"332",1330,"V22",369,13
"333",1327,"V22",369,13
"334",1328,"V22",369,13
"335",1326,"V22",369,13
"336",1325,"V22",369,13
"337",1324,"V22",369,13
"338",1351,"V22",385,16
"339",1352,"V22",385,16
"340",1350,"V22",385,16
"341",1348,"V22",385,16
"342",1349,"V22",385,16
"343",1345,"V22",385,16
"344",1346,"V22",385,16
"345",1347,"V22",385,16
"346",1343,"V22",385,16
"347",1344,"V22",385,16
"348",1341,"V22",385,16
"349",1342,"V22",385,16
"350",1339,"V22",385,16
"351",1340,"V22",385,16
"352",1338,"V22",385,16
"353",1337,"V22",385,16
"354",1369,"V22",402,17
"355",1368,"V22",402,17
"356",1367,"V22",402,17
"357",1366,"V22",402,17
"358",1364,"V22",402,17
"359",1365,"V22",402,17
"360",1361,"V22",402,17
"361",1362,"V22",402,17
"362",1363,"V22",402,17
"363",1360,"V22",402,17
"364",1359,"V22",402,17
"365",1358,"V22",402,17
"366",1356,"V22",402,17
"367",1357,"V22",402,17
"368",1354,"V22",402,17
"369",1355,"V22",402,17
"370",1353,"V22",402,17
"371",1383,"V22",416,14
"372",1382,"V22",416,14
"373",1381,"V22",416,14
"374",1378,"V22",416,14
"375",1379,"V22",416,14
"376",1380,"V22",416,14
"377",1375,"V22",416,14
"378",1376,"V22",416,14
"379",1377,"V22",416,14
"380",1374,"V22",416,14
"381",1373,"V22",416,14
"382",1371,"V22",416,14
"383",1372,"V22",416,14
"384",1370,"V22",416,14
"385",1389,"V22",423,7
"386",1390,"V22",423,7
"387",1388,"V22",423,7
"388",1387,"V22",423,7
"389",1386,"V22",423,7
"390",1384,"V22",423,7
"391",1385,"V22",423,7
"392",1393,"V22",426,3
"393",1392,"V22",426,3
"394",1391,"V22",426,3
"395",1394,"V22",428,2
"396",1395,"V22",428,2
"397",1397,"V22",431,3
"398",1398,"V22",431,3
"399",1396,"V22",431,3
"400",1400,"V22",434,3
"401",1401,"V22",434,3
"402",1399,"V22",434,3
"403",1402,"V22",435,1
"404",1403,"V22",437,2
"405",1404,"V22",437,2
"406",1405,"V22",438,1
"407",1406,"V22",439,1
"408",1407,"V22",441,1
"409",1408,"V22",444,3
"410",1409,"V22",444,3
"411",1410,"V22",444,3
"412",1411,"V22",446,2
"413",1412,"V22",446,2
"414",1413,"V22",447,1
"415",1414,"V22",448,1
"416",1415,"V22",451,1
"417",1416,"V22",452,1
"418",1417,"V22",454,1
"419",1418,"V22",455,1
"420",1419,"V22",457,1
"421",1420,"V22",462,2
"422",1421,"V22",462,2
"423",1422,"V22",465,3
"424",1423,"V22",465,3
"425",1424,"V22",465,3
"426",1427,"V22",468,3
"427",1426,"V22",468,3
"428",1425,"V22",468,3
"429",1429,"V22",470,2
"430",1428,"V22",470,2
"431",1430,"V22",471,1
"432",1431,"V22",473,2
"433",1432,"V22",473,2
"434",1433,"V22",475,2
"435",1434,"V22",475,2
"436",1437,"V22",478,3
"437",1435,"V22",478,3
"438",1436,"V22",478,3
"439",1439,"V22",482,4
"440",1440,"V22",482,4
"441",1441,"V22",482,4
"442",1438,"V22",482,4
"443",1446,"V22",487,5
"444",1445,"V22",487,5
"445",1443,"V22",487,5
"446",1444,"V22",487,5
